167,Africa - Africa Cup of Nations
35,France - Ligue 1
25,Germany - Bundesliga
17,Italy - Serie A
11,Spain - LaLiga
8,England - FA Cup
570,International - Friendly International
321,International - Club Friendlies
58,Netherlands - Eerste Divisie
73,Portugal - Liga Portugal
9,England - EFL Cup
7,England - Premier League
10,England - Community Shield
7062,England - PL International Cup
7585,England - Community Shield (W)
645,Africa - CAF WC Qualification
624,Africa - CAF Champions League
6265,Africa - African Nations Championship
6381,Africa - COSAFA Cup
588,Africa - Africa Cup of Nations Qualification
6859,Africa - CAF African Championship U20
627,Africa - CAF Confederation Cup
5581,Africa - CAF Super Cup
6167,Africa - CECAFA Cup
163,Bulgaria - A PFG
5668,Bulgaria - B PFG
164,Bulgaria - Super Cup
350,Bulgaria - Cup
117,Czech Republic - Fortuna League
460,Czech Republic - Super Cup
363,Czech Republic - MOL Cup
572,Europe - UEFA Champions League
6316,Europe - Euro
573,Europe - UEFA Europa League
5421,Europe - UEFA WC Qualification
6071,Europe - Euro Qualifiers
7016,Europe - UEFA Nations League
7685,Europe - UEFA Conference League
472,Europe - UEFA Super Cup
332,Europe - UEFA Champions League Qual
596,Europe - UEFA Europa League Qual.
37,France - Coupe de France
40,France - Super Cup
28,Germany - DFB-Pokal
32,Germany - Super Cup
5930,International - World Cup
5517,International - Confederations Cup
6280,International - Audi Cup
6376,International - Kings Cup
20,Italy - Coppa Italia
5437,National Teams - CAF
5434,National Teams - UEFA
5438,National Teams - AFC
6214,National Teams - National Teams
57,Netherlands - Eredivisie
59,Netherlands - KNVB Cup
60,Netherlands - Super Cup
153,Poland - Ekstraklasa
157,Poland - Poland Cup
156,Poland - Super Cup
76,Portugal - League Cup
77,Portugal - Super Cup
61,Scotland - Premier League
63,Scotland - FA Cup
15,Spain - Super Cup
13,Spain - Copa del Rey
